"Filename","tEntropy","tBrenner","fMoments","fMean","fSTD","fEntropy","fTh","fMaxPw","Skew","Kurtosis","MeanBin"
"/content/data/channel_0_GFP-PFAC+dsredLNCaP_col_D1-14_F10_1_2012y12m12d_10h00m (56).jpg",2.9627490094980153,17055870.0,0.8893625853768807,411.8412273436985,241.72111861282409,4.93366176460104,2675392670.1570683,178.84146354085962,0.25565522764282606,-0.6996274222207073,952.8617916110277
"/content/data/channel_0_GFP-PFAC+dsredLNCaP_col_D1-14_F10_1_2012y12m12d_10h00m (57).jpg",4.185545403058885,83252847.0,12.331211895492304,9223.65741665052,3029.685853272835,5.300220923022577,2450839328.5371704,5779.471517069043,0.1720661480204894,-1.132930796505674,15112.114220101404
"/content/data/channel_0_GFP-PFAC+dsredLNCaP_col_D1-14_F10_1_2012y12m12d_10h00m (55).jpg",4.255781973727253,83060362.0,12.171655641810037,9075.353960204233,3014.6515312750944,5.339813687535526,2450839328.5371704,5657.012949384628,0.15799537829669516,-1.1598627030298327,15043.72355196498
